,Product-ID,S/D,Latitude,Longitude
0,SKU_69,s,13.0343,77.6055
1,SKU_104,s,13.0343,77.6055
2,SKU_42,s,13.0343,77.6055
3,SKU_43,s,13.0343,77.6055
4,SKU_142,s,13.0343,77.6055
5,SKU_48,s,13.0343,77.6055
6,SKU_120,s,13.0343,77.6055
7,SKU_132,s,13.0343,77.6055
8,SKU_87,s,13.0343,77.6055
9,SKU_3,s,13.0343,77.6055
10,SKU_103,s,13.0343,77.6055
11,SKU_77,s,13.0343,77.6055
12,SKU_91,s,13.0343,77.6055
13,SKU_140,s,13.0343,77.6055
14,SKU_129,s,13.0343,77.6055
15,SKU_86,s,13.0343,77.6055
16,SKU_62,s,13.0343,77.6055
17,SKU_150,s,13.0343,77.6055
18,SKU_55,s,13.0343,77.6055
19,SKU_25,s,13.0343,77.6055
20,SKU_78,s,13.0343,77.6055
21,SKU_70,s,13.0343,77.6055
22,SKU_136,s,13.0343,77.6055
23,SKU_53,s,13.0343,77.6055
24,SKU_36,s,13.0343,77.6055
25,SKU_116,s,13.0343,77.6055
26,SKU_148,s,13.0343,77.6055
27,SKU_12,s,13.0343,77.6055
28,SKU_113,s,13.0343,77.6055
29,SKU_100,s,13.0343,77.6055
30,SKU_139,s,13.0343,77.6055
31,SKU_89,s,13.0343,77.6055
32,SKU_68,s,13.0343,77.6055
33,SKU_67,s,13.0343,77.6055
34,SKU_63,s,13.0343,77.6055
35,SKU_138,s,13.0343,77.6055
36,SKU_149,s,13.0343,77.6055
37,SKU_33,s,13.0343,77.6055
38,SKU_73,s,13.0343,77.6055
39,SKU_79,s,13.0343,77.6055
40,SKU_61,s,13.0343,77.6055
41,SKU_66,s,13.0343,77.6055
42,SKU_112,s,13.0343,77.6055
43,SKU_8,s,13.0343,77.6055
44,SKU_44,s,13.0343,77.6055
45,SKU_90,s,13.0343,77.6055
46,SKU_127,s,13.0343,77.6055
47,SKU_10,s,13.0343,77.6055
48,SKU_97,s,13.0343,77.6055
49,SKU_143,s,13.0343,77.6055
50,SKU_53,d,12.973296,77.6957888
51,SKU_90,d,12.973296,77.6957888
52,SKU_63,d,12.9641908,77.7019459
53,SKU_113,d,12.9577656,77.7011709
54,SKU_10,d,12.949365,77.6990172
55,SKU_148,d,12.9482807,77.6983956
56,SKU_62,d,12.9482807,77.6983956
57,SKU_138,d,12.9482807,77.6983956
58,SKU_150,d,12.9499232,77.6976686
59,SKU_55,d,12.9502139,77.6989321
60,SKU_103,d,12.9428771,77.6966127
61,SKU_8,d,12.9399931,77.6962218
62,SKU_67,d,12.9399931,77.6962218
63,SKU_149,d,12.9399931,77.6962218
64,SKU_140,d,12.9394137,77.6952031
65,SKU_42,d,12.9394098,77.69515729999999
66,SKU_87,d,12.9394137,77.6952031
67,SKU_44,d,12.9399329,77.6979661
68,SKU_112,d,12.9371558,77.7023374
69,SKU_3,d,12.9351663,77.7008211
70,SKU_68,d,12.9348385,77.7011844
71,SKU_78,d,12.9367813,77.71045889999999
72,SKU_77,d,12.9324386,77.7081077
73,SKU_129,d,12.9324386,77.7081077
74,SKU_89,d,12.9387303,77.6951242
75,SKU_25,d,12.935653,77.695588
76,SKU_120,d,12.9409139,77.696234
77,SKU_61,d,12.9483018,77.69946519999999
78,SKU_48,d,12.9499411,77.7006733
79,SKU_127,d,12.9499411,77.7006733
80,SKU_97,d,12.9486437,77.6996774
81,SKU_66,d,12.9267407,77.6895485
82,SKU_33,d,12.9253796,77.6876118
83,SKU_104,d,12.918756,77.6851939
84,SKU_100,d,12.9432425,77.69190569999999
85,SKU_69,d,12.948889,77.686014
86,SKU_79,d,12.9486582,77.6899712
87,SKU_139,d,12.9446164,77.6836756
88,SKU_136,d,12.9860236,77.7084196
89,SKU_132,d,12.9998189,77.7151616
90,SKU_43,d,13.0031532,77.7126242
91,SKU_91,d,13.0044944,77.7125871
92,SKU_70,d,13.0044944,77.7125871
93,SKU_12,d,13.0044944,77.7125871
94,SKU_143,d,13.0044944,77.7125871
95,SKU_142,d,13.0017902,77.7231486
96,SKU_86,d,13.0017902,77.7231486
97,SKU_36,d,13.0017902,77.7231486
98,SKU_116,d,13.0077274,77.7342053
99,SKU_73,d,13.0077274,77.7342053
