,Product-ID,S/D,Latitude,Longitude
0,SKU_147,s,13.0343,77.6055
1,SKU_72,s,13.0343,77.6055
2,SKU_76,s,13.0343,77.6055
3,SKU_98,s,13.0343,77.6055
4,SKU_50,s,13.0343,77.6055
5,SKU_115,s,13.0343,77.6055
6,SKU_88,s,13.0343,77.6055
7,SKU_5,s,13.0343,77.6055
8,SKU_9,s,13.0343,77.6055
9,SKU_1,s,13.0343,77.6055
10,SKU_34,s,13.0343,77.6055
11,SKU_64,s,13.0343,77.6055
12,SKU_102,s,13.0343,77.6055
13,SKU_52,s,13.0343,77.6055
14,SKU_117,s,13.0343,77.6055
15,SKU_82,s,13.0343,77.6055
16,SKU_45,s,13.0343,77.6055
17,SKU_65,s,13.0343,77.6055
18,SKU_18,s,13.0343,77.6055
19,SKU_106,s,13.0343,77.6055
20,SKU_20,s,13.0343,77.6055
21,SKU_110,s,13.0343,77.6055
22,SKU_17,s,13.0343,77.6055
23,SKU_59,s,13.0343,77.6055
24,SKU_119,s,13.0343,77.6055
25,SKU_83,s,13.0343,77.6055
26,SKU_27,s,13.0343,77.6055
27,SKU_85,s,13.0343,77.6055
28,SKU_2,s,13.0343,77.6055
29,SKU_146,s,13.0343,77.6055
30,SKU_107,s,13.0343,77.6055
31,SKU_19,s,13.0343,77.6055
32,SKU_80,s,13.0343,77.6055
33,SKU_23,s,13.0343,77.6055
34,SKU_38,s,13.0343,77.6055
35,SKU_75,s,13.0343,77.6055
36,SKU_47,s,13.0343,77.6055
37,SKU_13,s,13.0343,77.6055
38,SKU_28,s,13.0343,77.6055
39,SKU_93,s,13.0343,77.6055
40,SKU_123,s,13.0343,77.6055
41,SKU_81,s,13.0343,77.6055
42,SKU_114,s,13.0343,77.6055
43,SKU_6,s,13.0343,77.6055
44,SKU_131,s,13.0343,77.6055
45,SKU_121,s,13.0343,77.6055
46,SKU_102,d,13.0274976,77.63458159999999
47,SKU_6,d,13.0116344,77.6485005
48,SKU_146,d,12.9778862,77.64619789999999
49,SKU_9,d,12.9758079,77.6467327
50,SKU_115,d,12.9750224,77.64493019999999
51,SKU_20,d,12.970274,77.641387
52,SKU_123,d,12.9699142,77.6379417
53,SKU_114,d,12.9699539,77.638717
54,SKU_131,d,12.9653791,77.63803399999999
55,SKU_75,d,12.9653791,77.63803399999999
56,SKU_121,d,12.9613059,77.6366221
57,SKU_72,d,12.9600892,77.6357111
58,SKU_18,d,12.9600892,77.6357111
59,SKU_80,d,12.9614154,77.6349097
60,SKU_17,d,12.9609857,77.6387316
61,SKU_110,d,12.9539498,77.641089
62,SKU_52,d,12.9620069,77.63437669999999
63,SKU_83,d,12.9739924,77.6124456
64,SKU_27,d,12.9743127,77.6077163
65,SKU_1,d,12.9746781,77.60490279999999
66,SKU_98,d,12.975507,77.60314799999999
67,SKU_88,d,12.9757082,77.6023934
68,SKU_106,d,12.9756472,77.60225369999999
69,SKU_45,d,12.9756472,77.60225369999999
70,SKU_107,d,12.9757954,77.6019081
71,SKU_23,d,12.9735121,77.60334499999999
72,SKU_81,d,12.9771437,77.63256419999999
73,SKU_5,d,12.9257475,77.6143829
74,SKU_50,d,12.92178,77.6451944
75,SKU_47,d,12.9136257,77.6446549
76,SKU_34,d,12.9136257,77.6446549
77,SKU_76,d,12.91615,77.6488823
78,SKU_2,d,12.9175337,77.65045719999999
79,SKU_13,d,12.9156333,77.6516664
80,SKU_28,d,12.912786,77.6520296
81,SKU_82,d,12.9121594,77.6516733
82,SKU_59,d,12.9121301,77.650205
83,SKU_64,d,12.9125829,77.6514055
84,SKU_85,d,12.9125829,77.6514055
85,SKU_117,d,12.9196367,77.64947529999999
86,SKU_19,d,12.9236427,77.6497211
87,SKU_38,d,12.912702,77.652479
88,SKU_119,d,12.912702,77.652479
89,SKU_147,d,12.9096504,77.65330279999999
90,SKU_93,d,12.9069779,77.6634925
91,SKU_65,d,12.8921504,77.6282442
